State,Capital,State_Flower,State Population
Alabama,Montgomery,Camellia,4887870
Alaska,Juneau,Forget Me Not,737438
Arizona,Phoenix,Saguaro Cactus Blossom,7171650
Arkansas,Little Rock,Apple Blossom,3013820
California,Sacramento,California Poppy,39557000
Colorado,Denver,White and Lavender Columbine,5695560
Connecticut,Hartford,Mountain Laurel,3572660
Delaware,Dover,Peach Blossom,967171
Florida,Tallahassee,Orange Blossom,21299300
Georgia,Atlanta,Cherokee Rose,10519500
Hawaii,Honolulu,Hibiscus,1420490
Idaho,Boise,Syringa,1754210
Illinois,Springfield,Purple Violet,12741100
Indiana,Indianapolis,Peony,6691880
Iowa,Des Moines,Wild Prairie Rose,3156140
Kansas,Topeka,Sunflower,2911500
Kentucky,Frankfort,Goldenrod,4468400
Louisiana,Baton Rouge,Magnolia,4659980
Maine,Augusta,White Pine Cone and Tassel,1338400
Maryland,Annapolis,Black-Eyed Susan,6042720
Massachusetts,Boston,Mayflower,6902150
Michigan,Lansing,Apple Blossom,9995920
Minnesota,Saint Paul,Pink and White Lady Slipper,5611180
Mississippi,Jackson,Magnolia,2986530
Missouri,Jefferson City,White Hawthorn Blossom,6126450
Montana,Helena,Bitterroot,1062300
Nebraska,Lincoln,Goldenrod,1929270
Nevada,Carson City,Sagebrush,3034390
New Hampshire,Concord,Purple Lilac,1356460
New Jersey,Trenton,Violet,8908520
New Mexico,Santa Fe,Yucca Flower,2095430
New York,Albany,Rose,19542200
North Carolina,Raleigh,Dogwood,10383600
Ohio,Columbus,Scarlet Carnation,11689400
Oklahoma,Oklahoma City,Mistletoe,3943080
Oregon,Salem,Oregon Grape,4190710
Pennsylvania,Harrisburg,Mountain Laurel,12807100
Rhode Island,Providence,Violet,1057320
South Carolina,Columbia,Yellow Jessamine,5084130
North Dakota,Bismarck,Wild Prairie Rose,760077
South Dakota,Pierre,Pasque Flower,882235
Tennessee,Nashville,Iris,6770010
Texas,Austin,Bluebonnet,28701800
Utah,Salt Lake City,Sego Lily,3161100
Vermont,Montpelier,Red Clover,626299
Virginia,Richmond,Dogwood,8517680
Washington,Olympia,Pink Rhododendron,7535590
West Virginia,Charleston,Rhododendron,1805830
Wisconsin,Madison,Wood Violet,5813570
Wyoming,Cheyenne,Indian Paintbrush,577737
